video_id;view_count;tags;url;duration_in_seconds
0m-P7mb2Ew8;3293;Crimea, Russia, Vessel, Ships, Ukrainie, Fsb, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=0m-P7mb2Ew8;66
i5nEe9lIfMw;3301;Nasa, Mars, Insight, Discovery Program, Outer Space, Spaceflight, Spacecraft, Environment, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=i5nEe9lIfMw;64
YBrQHSVaNx8;14453;Korean Beauty, Makeup, K Beauty, Ej Bae, Skin Care, Pony Syndrome, Sexism, Bubble Masks, Innisfree, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=YBrQHSVaNx8;304
kKldq7G1430;1881;Czech, Israel, Milos Zeman, Knesset, Embassy, Netanyahu, President, Jerusalem, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=kKldq7G1430;96
jdivF2-QyNE;2104;UK, Brexit, Theresa May, Eu, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=jdivF2-QyNE;85
AjofAQo1Z5Y;852;Cyclist, Centenarian, Robert Marchand, Road Racing, Sports, French, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=AjofAQo1Z5Y;79
NgTiuza2mEE;13960;Syrian Refugee, United Kingdom, Bully, Choke, School, Bullying, Refugee, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=NgTiuza2mEE;61
A4VOx-WiXug;686;War in Syria 2018, War in Syria, Syria War Today, Syria War 2018, Syria War Report, Russia, Syria, Proxy Wars, Politics, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=A4VOx-WiXug;79
kN-1DNBgFmw;435;Duterte Drug War, Duterte, Philippines, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=kN-1DNBgFmw;56
Civ4hLsgaEg;6897;Mbs, Saudi Arabia, Mohammed Bin Salman, Crime Against Humanity, Ramiro Gonzalez, Khashoggi Killing, Federal Judge Ariel Lijo, Yemen Civil War, Argentina, Crown Prince, Jamal Khashoggi, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=Civ4hLsgaEg;72
KN1MTmFEcJM;35914;United Nations, Palestinians, Israel Vs Palestine 2018, Israel Palestine Conflict Documentary, Ben Shapiro Israel Palestine, Israel and Palestine, Israel Palestine Conflict, Israel Palestine Conflict 2018, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=KN1MTmFEcJM;235
myyZ5Cdc1-Y;6251;Pkk Terror 2018, Pkk Terror, Pkk 2018, Ypg and Pkk, Pkk and Ypg, Iraq, Syria, Ypg Terror, What Is Ypg, Pkk, Pjak, Ypg, Terrorist Organisation, What Is Pkk, Qandil, Abdullah Ocalan, Raqqa, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=myyZ5Cdc1-Y;220
